Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename
1086504716,"16 Jul 2017, 08:28:20",Morning Ride,Ride,,26231,150.66,150,false,,activities/1190658615.fit.gz
1097738642,"23 Jul 2017, 10:01:50",Lunch Ride,Ride,,15621,111.30,182,false,,activities/1202074451.fit.gz
1117882489,"5 Aug 2017, 07:18:40",Morning Run,Run,,3069,7.54,45,false,,activities/1222502876.fit.gz
1119575451,"6 Aug 2017, 07:27:14",Morning Run,Run,"",4159,10.33,45,false,,activities/1224232466.fit.gz
1121405506,"7 Aug 2017, 07:44:15",Morning Run,Run,,2552,4.84,9,false,,activities/1226104800.fit.gz
1124670294,"9 Aug 2017, 07:25:59",Morning Run,Run,"",5938,14.06,83,false,,activities/1229420140.fit.gz
1129132721,"12 Aug 2017, 06:31:58",Morning Ride,Ride,,1846,12.14,12,false,,activities/1233959961.fit.gz
1129994627,"12 Aug 2017, 08:47:46",Morning Ride,Ride,,27232,116.13,197,false,,activities/1234851740.fit.gz
1131203967,"13 Aug 2017, 07:44:09",Morning Ride,Ride,,11917,65.62,66,false,,activities/1236087438.fit.gz
1136974413,"13 Aug 2017, 15:13:49","Supporting Mark, Colin and Brandon on their Everest(s) challenge.",Ride,"",269918,71.30,110,false,,activities/1241954853.fit.gz
1140007856,"18 Aug 2017, 07:12:31",Wet ride to Alston.,Ride,"",36569,176.66,184,false,,activities/1245038384.fit.gz
1140860998,"19 Aug 2017, 08:16:52",Morning Ride,Ride,,4082,18.07,22,false,,activities/1245900509.fit.gz
1151682517,"25 Aug 2017, 15:33:46",Afternoon Ride,Ride,,5418,32.60,56,false,,activities/1256894441.fit.gz
1152658887,"26 Aug 2017, 07:21:51",Morning Ride,Ride,,12722,74.50,90,false,,activities/1257882368.fit.gz
1154605474,"27 Aug 2017, 07:35:41",Morning Ride,Ride,,15318,91.09,75,false,,activities/1259864041.fit.gz
